Fase,Clase_Real,Nombre_Archivo
Train,genre,4310.jpg
Train,landscape,3693.jpg
Train,interior,1232.jpg
Train,mythological,457.jpg
Train,other,467.jpg
Train,still-life,67.jpg
Train,interior,1854.jpg
Train,mythological,2265.jpg
Train,religious,130.jpg
Train,portrait,299.jpg
Train,genre,4705.jpg
Train,genre,5921.jpg
Train,landscape,3724.jpg
Train,other,2107.jpg
Train,other,1940.jpg
Train,study,6464.jpg
Train,study,2357.jpg
Train,interior,1453.jpg
Train,interior,4790.jpg
Train,religious,517.jpg
Train,genre,5740.jpg
Train,other,1864.jpg
Train,historical,9258.jpg
Train,genre,476.jpg
Train,mythological,1.jpg
Train,landscape,3384.jpg
Train,landscape,364.jpg
Train,portrait,254.jpg
Train,study,3345.jpg
Train,genre,5727.jpg
Train,study,2298.jpg
Train,other,1742.jpg
Train,religious,323.jpg
Train,study,10552.jpg
Train,landscape,2709.jpg
Train,historical,6650.jpg
Train,portrait,3411.jpg
Train,portrait,72.jpg
Train,mythological,2711.jpg
Train,interior,1832.jpg
Train,historical,9002.jpg
Train,historical,9193.jpg
Train,study,4995.jpg
Train,religious,351.jpg
Train,study,2328.jpg
Train,religious,573.jpg
Train,still-life,4174.jpg
Train,study,12107.jpg
Train,portrait,3313.jpg
Train,still-life,4296.jpg
Train,still-life,8093.jpg
Train,interior,1443.jpg
Train,portrait,3314.jpg
Train,landscape,4319.jpg
Train,other,1624.jpg
Train,portrait,601.jpg
Train,historical,63.jpg
Train,study,2358.jpg
Train,interior,2235.jpg
Train,religious,151.jpg
Train,religious,374.jpg
Train,historical,6047.jpg
Train,study,3373.jpg
Train,mythological,3372.jpg
Train,portrait,2697.jpg
Train,historical,608.jpg
Train,genre,3845.jpg
Train,other,1403.jpg
Train,historical,9895.jpg
Train,mythological,3094.jpg
Train,mythological,2821.jpg
Train,study,5258.jpg
Train,religious,538.jpg
Train,other,1983.jpg
Train,mythological,1017.jpg
Train,landscape,4327.jpg
Train,portrait,3061.jpg
Train,portrait,2496.jpg
Train,genre,6136.jpg
Train,historical,9474.jpg
Train,portrait,2722.jpg
Train,religious,8.jpg
Train,religious,141.jpg
Train,interior,1584.jpg
Train,portrait,1084.jpg
Train,landscape,3697.jpg
Train,study,10860.jpg
Train,genre,104.jpg
Train,historical,6674.jpg
Train,study,8300.jpg
Train,interior,1505.jpg
Train,portrait,2873.jpg
Train,mythological,181.jpg
Train,landscape,3383.jpg
Train,portrait,2752.jpg
Train,landscape,3843.jpg
Train,genre,6131.jpg
Train,historical,11443.jpg
Train,genre,5982.jpg
Train,other,117.jpg
Train,mythological,3304.jpg
Train,mythological,313.jpg
Train,mythological,2835.jpg
